599950.000 ns         289 00000726
600000.000 ns         290 00000726
600050.000 ns         291 00000726
600100.000 ns         292 00000726
600150.000 ns         293 0000072a
600200.000 ns         294 0000072a
600250.000 ns         295 0000072a
600300.000 ns         296 0000072c
600350.000 ns         297 0000072c
600400.000 ns         298 0000072c
600450.000 ns         299 0000072c
600500.000 ns         300 0000072c
600550.000 ns         301 0000072c
600600.000 ns         302 0000072c
600650.000 ns         303 0000072c
600700.000 ns         304 00000730
600750.000 ns         305 00000730
600800.000 ns         306 00000730
600850.000 ns         307 00000730
600900.000 ns         308 0000073c
600950.000 ns         309 0000073c
601000.000 ns         310 0000073c
601050.000 ns         311 0000073c
601100.000 ns         312 0000073c
601150.000 ns         313 0000073c
601200.000 ns         314 0000073c
601250.000 ns         315 0000073c
601300.000 ns         316 0000073c
601350.000 ns         317 0000073c
601400.000 ns         318 00000740
601450.000 ns         319 00000740
601500.000 ns         320 00000740
601550.000 ns         321 00000742
601600.000 ns         322 00000742
601650.000 ns         323 00000742
601700.000 ns         324 00000742
601750.000 ns         325 00000742
601800.000 ns         326 00000742
601850.000 ns         327 00000742
601900.000 ns         328 00000742
601950.000 ns         329 00000742
602000.000 ns         330 00000742
602050.000 ns         331 00000746
602100.000 ns         332 00000746
602150.000 ns         333 00000746
602200.000 ns         334 00000746
602250.000 ns         335 00000746
602300.000 ns         336 00000746
602350.000 ns         337 00000746
602400.000 ns         338 00000746
602450.000 ns         339 0000074a
602500.000 ns         340 0000074a
602550.000 ns         341 0000074a
602600.000 ns         342 0000074a
602650.000 ns         343 0000074a
602700.000 ns         344 0000074a
602750.000 ns         345 0000074a
602800.000 ns         346 0000074a
602850.000 ns         347 0000074e
602900.000 ns         348 0000074e
602950.000 ns         349 0000074e
603000.000 ns         350 0000074e
603050.000 ns         351 0000074e
603100.000 ns         352 00000714
603150.000 ns         353 00000714
603200.000 ns         354 00000714
603250.000 ns         355 00000714
603300.000 ns         356 00000714
603350.000 ns         357 00000714
603400.000 ns         358 00000714
603450.000 ns         359 00000714
603500.000 ns         360 00000714
603550.000 ns         361 00000714
603600.000 ns         362 00000718
603650.000 ns         363 00000718
603700.000 ns         364 00000718
603750.000 ns         365 00000718
603800.000 ns         366 00000718
603850.000 ns         367 00000718
603900.000 ns         368 00000718
603950.000 ns         369 0000071c
604000.000 ns         370 0000071c
604050.000 ns         371 0000071c
604100.000 ns         372 0000071e
604150.000 ns         373 0000071e
604200.000 ns         374 0000071e
604250.000 ns         375 0000071e
604300.000 ns         376 0000071e
604350.000 ns         377 0000071e
604400.000 ns         378 0000071e
604450.000 ns         379 0000071e
604500.000 ns         380 0000071e
604550.000 ns         381 0000071e
604600.000 ns         382 00000722
604650.000 ns         383 00000722
604700.000 ns         384 00000722
604750.000 ns         385 00000722
604800.000 ns         386 00000722
604850.000 ns         387 00000722
604900.000 ns         388 00000722
604950.000 ns         389 00000722
605000.000 ns         390 00000726
605050.000 ns         391 00000726
605100.000 ns         392 00000726
605150.000 ns         393 00000726
605200.000 ns         394 00000726
605250.000 ns         395 00000726
605300.000 ns         396 0000072a
605350.000 ns         397 0000072a
605400.000 ns         398 0000072a
605450.000 ns         399 0000072c
605500.000 ns         400 0000072c
605550.000 ns         401 0000072c
605600.000 ns         402 0000072c
605650.000 ns         403 0000072c
605700.000 ns         404 0000072c
605750.000 ns         405 0000072c
605800.000 ns         406 0000072c
605850.000 ns         407 00000730
605900.000 ns         408 00000730
605950.000 ns         409 00000730
606000.000 ns         410 00000730
606050.000 ns         411 0000073c
606100.000 ns         412 0000073c
606150.000 ns         413 0000073c
606200.000 ns         414 0000073c
606250.000 ns         415 0000073c
606300.000 ns         416 0000073c
606350.000 ns         417 0000073c
606400.000 ns         418 0000073c
606450.000 ns         419 0000073c
606500.000 ns         420 0000073c
606550.000 ns         421 00000740
606600.000 ns         422 00000740
606650.000 ns         423 00000740
606700.000 ns         424 00000742
606750.000 ns         425 00000742
606800.000 ns         426 00000742
606850.000 ns         427 00000742
606900.000 ns         428 00000742
606950.000 ns         429 00000742
607000.000 ns         430 00000742
607050.000 ns         431 00000742
607100.000 ns         432 00000742
607150.000 ns         433 00000742
607200.000 ns         434 00000746
607250.000 ns         435 00000746
607300.000 ns         436 00000746
607350.000 ns         437 00000746
607400.000 ns         438 00000746
607450.000 ns         439 00000746
607500.000 ns         440 00000746
607550.000 ns         441 00000746
607600.000 ns         442 0000074a
607650.000 ns         443 0000074a
607700.000 ns         444 0000074a
607750.000 ns         445 0000074a
607800.000 ns         446 0000074a
607850.000 ns         447 0000074a
607900.000 ns         448 0000074a
607950.000 ns         449 0000074a
608000.000 ns         450 0000074e
608050.000 ns         451 0000074e
608100.000 ns         452 0000074e
608150.000 ns         453 0000074e
608200.000 ns         454 0000074e
608250.000 ns         455 00000714
608300.000 ns         456 00000714
608350.000 ns         457 00000714
608400.000 ns         458 00000714
608450.000 ns         459 00000714
608500.000 ns         460 00000714
608550.000 ns         461 00000714
608600.000 ns         462 00000714
608650.000 ns         463 00000714
608700.000 ns         464 00000714
608750.000 ns         465 00000718
608800.000 ns         466 00000718
608850.000 ns         467 00000718
608900.000 ns         468 00000718
608950.000 ns         469 00000718
609000.000 ns         470 00000718
609050.000 ns         471 00000718
609100.000 ns         472 0000071c
609150.000 ns         473 0000071c
609200.000 ns         474 0000071c
609250.000 ns         475 0000071e
609300.000 ns         476 0000071e
609350.000 ns         477 0000071e
609400.000 ns         478 0000071e
609450.000 ns         479 0000071e
609500.000 ns         480 0000071e
609550.000 ns         481 0000071e
609600.000 ns         482 0000071e
609650.000 ns         483 0000071e
609700.000 ns         484 0000071e
609750.000 ns         485 00000722
609800.000 ns         486 00000722
609850.000 ns         487 00000722
609900.000 ns         488 00000722
609950.000 ns         489 00000722
610000.000 ns         490 00000722
610050.000 ns         491 00000722
610100.000 ns         492 00000722
610150.000 ns         493 00000726
610200.000 ns         494 00000726
610250.000 ns         495 00000726
610300.000 ns         496 00000726
610350.000 ns         497 00000726
610400.000 ns         498 00000726
610450.000 ns         499 0000072a
610500.000 ns         500 0000072a
610550.000 ns         501 0000072a
610600.000 ns         502 0000072c
610650.000 ns         503 0000072c
610700.000 ns         504 0000072c
610750.000 ns         505 0000072c
610800.000 ns         506 0000072c
610850.000 ns         507 0000072c
610900.000 ns         508 0000072c
610950.000 ns         509 0000072c
611000.000 ns         510 00000730
611050.000 ns         511 00000730
611100.000 ns         512 00000730
611150.000 ns         513 00000730
611200.000 ns         514 0000073c
611250.000 ns         515 0000073c
611300.000 ns         516 0000073c
611350.000 ns         517 0000073c
611400.000 ns         518 0000073c
611450.000 ns         519 0000073c
611500.000 ns         520 0000073c
611550.000 ns         521 0000073c
611600.000 ns         522 0000073c
611650.000 ns         523 0000073c
611700.000 ns         524 00000740
611750.000 ns         525 00000740
611800.000 ns         526 00000740
611850.000 ns         527 00000742
611900.000 ns         528 00000742
611950.000 ns         529 00000742
612000.000 ns         530 00000742
612050.000 ns         531 00000742
612100.000 ns         532 00000742
612150.000 ns         533 00000742
612200.000 ns         534 00000742
612250.000 ns         535 00000742
612300.000 ns         536 00000742
612350.000 ns         537 00000746
612400.000 ns         538 00000746
612450.000 ns         539 00000746
612500.000 ns         540 00000746
612550.000 ns         541 00000746
612600.000 ns         542 00000746
612650.000 ns         543 00000746
612700.000 ns         544 00000746
612750.000 ns         545 0000074a
612800.000 ns         546 0000074a
612850.000 ns         547 0000074a
612900.000 ns         548 0000074a
612950.000 ns         549 0000074a
613000.000 ns         550 0000074a
613050.000 ns         551 0000074a
613100.000 ns         552 0000074a
613150.000 ns         553 0000074e
613200.000 ns         554 0000074e
613250.000 ns         555 0000074e
613300.000 ns         556 0000074e
613350.000 ns         557 0000074e
613400.000 ns         558 00000714
613450.000 ns         559 00000714
613500.000 ns         560 00000714
613550.000 ns         561 00000714
613600.000 ns         562 00000714
613650.000 ns         563 00000714
613700.000 ns         564 00000714
613750.000 ns         565 00000714
613800.000 ns         566 00000714
613850.000 ns         567 00000714
613900.000 ns         568 00000718
613950.000 ns         569 00000718
614000.000 ns         570 00000718
614050.000 ns         571 00000718
614100.000 ns         572 00000718
614150.000 ns         573 00000718
614200.000 ns         574 00000718
614250.000 ns         575 0000071c
614300.000 ns         576 0000071c
614350.000 ns         577 0000071c
614400.000 ns         578 0000071e
614450.000 ns         579 0000071e
614500.000 ns         580 0000071e
614550.000 ns         581 0000071e
614600.000 ns         582 0000071e
614650.000 ns         583 0000071e
614700.000 ns         584 0000071e
614750.000 ns         585 0000071e
614800.000 ns         586 0000071e
614850.000 ns         587 0000071e
614900.000 ns         588 00000722
614950.000 ns         589 00000722
615000.000 ns         590 00000722
615050.000 ns         591 00000722
615100.000 ns         592 00000722
615150.000 ns         593 00000722
615200.000 ns         594 00000722
615250.000 ns         595 00000722
615300.000 ns         596 00000726
615350.000 ns         597 00000726
615400.000 ns         598 00000726
615450.000 ns         599 00000726
615500.000 ns         600 00000726
615550.000 ns         601 00000726
615600.000 ns         602 0000072a
615650.000 ns         603 0000072a
615700.000 ns         604 0000072a
615750.000 ns         605 0000072c
615800.000 ns         606 0000072c
615850.000 ns         607 0000072c
615900.000 ns         608 0000072c
615950.000 ns         609 0000072c
616000.000 ns         610 0000072c
616050.000 ns         611 0000072c
616100.000 ns         612 0000072c
616150.000 ns         613 00000730
616200.000 ns         614 00000730
616250.000 ns         615 00000730
616300.000 ns         616 00000730
616350.000 ns         617 00000734
616400.000 ns         618 00000734
616450.000 ns         619 00000734
616500.000 ns         620 00000738
616550.000 ns         621 00000738
616600.000 ns         622 00000738
616650.000 ns         623 00000738
616700.000 ns         624 00000738
616750.000 ns         625 00000738
616800.000 ns         626 00000738
616850.000 ns         627 00000738
616900.000 ns         628 0000073c
616950.000 ns         629 0000073c
617000.000 ns         630 0000073c
617050.000 ns         631 0000073c
617100.000 ns         632 0000073c
617150.000 ns         633 0000073c
617200.000 ns         634 0000073c
617250.000 ns         635 00000740
617300.000 ns         636 00000740
617350.000 ns         637 00000740
617400.000 ns         638 00000742
617450.000 ns         639 00000742
617500.000 ns         640 00000742
617550.000 ns         641 00000742
617600.000 ns         642 00000742
617650.000 ns         643 00000742
617700.000 ns         644 00000742
617750.000 ns         645 00000742
617800.000 ns         646 00000742
617850.000 ns         647 00000742
617900.000 ns         648 00000746
617950.000 ns         649 00000746
618000.000 ns         650 00000746
618050.000 ns         651 00000746
618100.000 ns         652 00000746
618150.000 ns         653 00000746
618200.000 ns         654 00000746
618250.000 ns         655 00000746
618300.000 ns         656 0000074a
618350.000 ns         657 0000074a
618400.000 ns         658 0000074a
618450.000 ns         659 0000074a
618500.000 ns         660 0000074a
618550.000 ns         661 0000074a
618600.000 ns         662 0000074a
618650.000 ns         663 0000074a
618700.000 ns         664 0000074e
618750.000 ns         665 0000074e
618800.000 ns         666 0000074e
618850.000 ns         667 0000074e
618900.000 ns         668 0000074e
618950.000 ns         669 00000752
619000.000 ns         670 00000752
619050.000 ns         671 00000752
619100.000 ns         672 00000752
619150.000 ns         673 00000752
619200.000 ns         674 00000752
619250.000 ns         675 00000752
619300.000 ns         676 00000752
619350.000 ns         677 00000756
619400.000 ns         678 00000756
619450.000 ns         679 00000756
619500.000 ns         680 00000756
619550.000 ns         681 00000756
619600.000 ns         682 00000756
619650.000 ns         683 00000756
619700.000 ns         684 00000756
619750.000 ns         685 0000075a
619800.000 ns         686 0000075a
619850.000 ns         687 0000075a
619900.000 ns         688 00000760
619950.000 ns         689 00000760
620000.000 ns         690 00000760
620050.000 ns         691 00000760
620100.000 ns         692 00000760
620150.000 ns         693 00000760
620200.000 ns         694 00000760
620250.000 ns         695 00000760
620300.000 ns         696 00000760
620350.000 ns         697 00000760
620400.000 ns         698 00000764
620450.000 ns         699 00000764
620500.000 ns         700 00000764
620550.000 ns         701 00000768
620600.000 ns         702 00000768
620650.000 ns         703 00000768
620700.000 ns         704 00000768
620750.000 ns         705 00000768
620800.000 ns         706 00000776
620850.000 ns         707 00000776
620900.000 ns         708 00000776
620950.000 ns         709 00000776
621000.000 ns         710 00000776
621050.000 ns         711 00000776
621100.000 ns         712 00000776
621150.000 ns         713 00000776
621200.000 ns         714 0000077a
621250.000 ns         715 0000077a
621300.000 ns         716 0000077a
621350.000 ns         717 0000077a
621400.000 ns         718 0000077a
621450.000 ns         719 0000077a
621500.000 ns         720 0000077a
621550.000 ns         721 0000077a
621600.000 ns         722 0000077a
621650.000 ns         723 0000077a
621700.000 ns         724 0000077e
621750.000 ns         725 0000077e
621800.000 ns         726 0000077e
621850.000 ns         727 0000077e
621900.000 ns         728 0000077e
621950.000 ns         729 0000077e
622000.000 ns         730 00000782
622050.000 ns         731 00000782
622100.000 ns         732 00000782
622150.000 ns         733 00000784
622200.000 ns         734 00000784
622250.000 ns         735 00000784
622300.000 ns         736 00000784
622350.000 ns         737 00000784
622400.000 ns         738 00000784
622450.000 ns         739 00000784
622500.000 ns         740 00000786
622550.000 ns         741 00000786
622600.000 ns         742 00000786
622650.000 ns         743 00000786
622700.000 ns         744 00000786
622750.000 ns         745 00000786
622800.000 ns         746 00000786
622850.000 ns         747 00000788
622900.000 ns         748 00000788
622950.000 ns         749 00000788
623000.000 ns         750 0000078a
623050.000 ns         751 0000078a
623100.000 ns         752 0000078a
623150.000 ns         753 000007d4
623200.000 ns         754 000007d4
623250.000 ns         755 000007d4
623300.000 ns         756 000007d4
623350.000 ns         757 000007d4
623400.000 ns         758 000007d4
623450.000 ns         759 000007d4
623500.000 ns         760 000007d6
623550.000 ns         761 000007d6
623600.000 ns         762 000007d6
623650.000 ns         763 000007d8
623700.000 ns         764 000007d8
623750.000 ns         765 000007d8
623800.000 ns         766 000007d8
623850.000 ns         767 000007dc
623900.000 ns         768 000007dc
623950.000 ns         769 000007dc
624000.000 ns         770 000007dc
624050.000 ns         771 000007dc
624100.000 ns         772 00000816
624150.000 ns         773 00000816
624200.000 ns         774 00000816
624250.000 ns         775 00000816
624300.000 ns         776 00000816
624350.000 ns         777 00000816
624400.000 ns         778 00000816
624450.000 ns         779 00000816
624500.000 ns         780 0000081a
624550.000 ns         781 0000081a
624600.000 ns         782 0000081a
624650.000 ns         783 0000081c
624700.000 ns         784 0000081c
624750.000 ns         785 0000081c
624800.000 ns         786 0000081c
624850.000 ns         787 0000081c
624900.000 ns         788 0000081c
624950.000 ns         789 0000081c
625000.000 ns         790 0000081e
625050.000 ns         791 0000081e
625100.000 ns         792 0000081e
625150.000 ns         793 0000081e
625200.000 ns         794 0000081e
625250.000 ns         795 0000081e
625300.000 ns         796 0000081e
625350.000 ns         797 00000820
625400.000 ns         798 00000820
625450.000 ns         799 00000820
625500.000 ns         800 00000822
625550.000 ns         801 00000822
625600.000 ns         802 00000822
625650.000 ns         803 00000954
625700.000 ns         804 00000954
625750.000 ns         805 00000954
625800.000 ns         806 00000954
625850.000 ns         807 00000954
625900.000 ns         808 00000954
625950.000 ns         809 00000954
626000.000 ns         810 00000956
626050.000 ns         811 00000956
626100.000 ns         812 00000956
626150.000 ns         813 00000956
626200.000 ns         814 00000956
626250.000 ns         815 00000956
626300.000 ns         816 00000956
626350.000 ns         817 00000956
626400.000 ns         818 00000956
626450.000 ns         819 00000956
626500.000 ns         820 0000095a
626550.000 ns         821 0000095a
626600.000 ns         822 0000095a
626650.000 ns         823 0000095a
626700.000 ns         824 0000095a
